Unnamed: 0,gen,sp,en,lat,lng,alt,date,location,state,aqi
0,Prinia,lepida,Delicate Prinia,22.9146,71.9718,10,03-02-2019,"Vadhla Dam, Moti Kathechi, Surendranagar",Gujarat,137
1,Prinia,lepida,Delicate Prinia,31.1358,74.9525,220,14-01-2016,"Harike wetlands, Talwandi Nepalan, Ferozepur",Punjab,142
2,Ducula,cuprea,Malabar Imperial Pigeon,15.375,74.2542,190,05-05-2009,"Tambdi Surla, Bhagwan Mahaveer Wildlife Sanctuary",Goa,46
3,Ducula,cuprea,Malabar Imperial Pigeon,15.375,74.2542,190,05-05-2009,"Tambdi Surla, Bhagwan Mahaveer Wildlife Sanctuary",Goa,46
4,Prinia,lepida,Delicate Prinia,23.261,69.2036,180,30-01-2013,Rampar Roha Abdasa Taluka Kachchh,Gujarat,137
5,Prinia,lepida,Delicate Prinia,23.261,69.2036,180,30-01-2013,Rampar Roha Abdasa Taluka Kachchh,Gujarat,137
6,Prinia,lepida,Delicate Prinia,23.1359,71.7451,121,30-12-2011,Kachchh,Gujarat,137
7,Prinia,lepida,Delicate Prinia,27.6167,95.5501,63,0000-00-00,Doom Dooma Tinsukia District,Assam,89
8,Ducula,cuprea,Malabar Imperial Pigeon,10.1274,76.7546,60,03-02-2016,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County",Kerala,91
9,Ducula,cuprea,Malabar Imperial Pigeon,10.1274,76.7546,60,01-02-2016,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County",Kerala,91
10,Chloropsis,moluccensis,Blue-winged Leafbird,23.733,92.6673,800,24-10-2018,"Aizawl, Aizawl",Mizoram,37
11,Ducula,cuprea,Malabar Imperial Pigeon,10.1273569,76.7545867,238,11-04-2017,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County",Kerala,91
12,Ducula,cuprea,Malabar Imperial Pigeon,10.1273569,76.7545867,312,11-04-2017,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County",Kerala,91
13,Ducula,cuprea,Malabar Imperial Pigeon,11.3362,76.1102,650,19-03-2017,"Kakkadampoyil, Malappuram",Kerala,63
14,Prinia,lepida,Delicate Prinia,27.2575,70.892,170,14-01-2016,"Desert National Park, Thar Desert, near Jaisalmer",Rajasthan,135
15,Ducula,cuprea,Malabar Imperial Pigeon,15.2514,74.2411,380,23-11-2014,Zuna Patiem Sanguem South Goa District,Goa,46
16,Ducula,cuprea,Malabar Imperial Pigeon,15.4411,74.2544,140,17-04-2014,"Bhagwan Mahaveer Sanctuary And Mollem National Park (near  Mollem), South Goa",Goa,46
17,Ducula,cuprea,Malabar Imperial Pigeon,15.5928,74.2334,170,23-03-2014,Vainguinim Satari North Goa District,Goa,46
18,Prinia,lepida,Delicate Prinia,26.2539,91.9132,50,26-01-2019,"Burha Mayang Par, Kamrup",Assam,151
19,Ducula,cuprea,Malabar Imperial Pigeon,11.3362,76.1102,650,19-03-2017,"Kakkadampoyil, Malappuram",Kerala,63
20,Ducula,cuprea,Malabar Imperial Pigeon,15.2687,74.5375,500,07-05-2014,"Badgund, Uttara Kannada",Karnataka,64
21,Prinia,lepida,Delicate Prinia,23.4744,87.3064,60,16-07-2017,"Durgapur Barrage Birding Hotspot, Durgapur",West Bengal,172
22,Prinia,lepida,Delicate Prinia,23.4744,87.3064,60,16-07-2017,"Durgapur Barrage Birding Hotspot, Durgapur",West Bengal,172
23,Dendrocygna,bicolor,Fulvous Whistling Duck,12.8375,80.0775,30,06-02-2022,"Guduvancheri, Kanchipuram",Tamil Nadu,5
24,Dendrocygna,bicolor,Fulvous Whistling Duck,12.8375,80.0775,30,06-02-2022,"Guduvancheri, Kanchipuram",Tamil Nadu,5
25,Dendrocygna,bicolor,Fulvous Whistling Duck,12.9011,80.2199,0,27-08-2017,"OMR - Medavakkam Toll Gate (near  Chennai), Kanchipuram",Tamil Nadu,67
26,Dendrocygna,javanica,Lesser Whistling Duck,11.6612,92.6566,0,14-12-2022,Ograbraj (near  Hobdipur RV),Andaman and Nicobar Islands,63
27,Dendrocygna,javanica,Lesser Whistling Duck,11.63,92.67,39,23-04-2017,"Near Chouldari, South Andaman County",Andaman and Nicobar Islands,63
28,Dendrocygna,javanica,Lesser Whistling Duck,11.63,92.67,31,23-04-2017,"Near Chouldari, South Andaman County",Andaman and Nicobar Islands,63
29,Dendrocygna,javanica,Lesser Whistling Duck,15.5966,73.8729,20,18-05-2014,"Goncoi, Aldona,Bardez",Goa,46
30,Dendrocygna,javanica,Lesser Whistling Duck,11.6612,92.6566,0,14-12-2022,Ograbraj (near  Hobdipur RV),Andaman and Nicobar Islands,63
31,Dendrocygna,javanica,Lesser Whistling Duck,11.6612,92.6566,0,14-12-2022,Ograbraj (near  Hobdipur RV),Andaman and Nicobar Islands,63
32,Dendrocygna,javanica,Lesser Whistling Duck,27.1593,77.5232,35,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
33,Dendrocygna,javanica,Lesser Whistling Duck,27.1593,77.5232,43,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
34,Dendrocygna,javanica,Lesser Whistling Duck,9.3223,76.7047,10,01-10-2017,"Mallapuzhassery, Pathanamthitta",Kerala,172
35,Dendrocygna,javanica,Lesser Whistling Duck,27.166,77.5245,180,21-12-2016,"Shreenagar Rural, Bharatpur",Rajasthan,124
36,Dendrocygna,javanica,Lesser Whistling Duck,10.1691,76.4396,10,29-08-2015,"Kalady, Ernakulam",Kerala,91
37,Dendrocygna,javanica,Lesser Whistling Duck,15.2961,74.0377,10,14-12-2014,"Maitollem Lake, South Goa",Goa,46
38,Dendrocygna,javanica,Lesser Whistling Duck,21.576,71.323,10,04-10-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
39,Dendrocygna,javanica,Lesser Whistling Duck,15.489,73.929,6,09-01-2010,Carambolim Lake,Goa,46
40,Dendrocygna,javanica,Lesser Whistling Duck,19.4605,72.7932,0,01-07-2021,"Virar, Thane",Maharashtra,93
41,Dendrocygna,javanica,Lesser Whistling Duck,10.1691,76.4396,10,29-08-2015,"Kalady, Ernakulam",Kerala,91
42,Dendrocygna,javanica,Lesser Whistling Duck,21.0623,76.0622,220,24-12-2021,"Khamkhede, Jalgaon",Maharashtra,64
43,Dendrocygna,javanica,Lesser Whistling Duck,20.8935,77.7745,360,04-04-2014,"Chhatri Lake, Amravati",Maharashtra,161
44,Dendrocygna,javanica,Lesser Whistling Duck,15.489,73.929,0,16-12-2014,Carambolim Lake,Goa,46
45,Anser,indicus,Bar-headed Goose,32.0439,76.0654,420,10-09-2021,"Pong Dam-Nagrota Surian, Kangra",Himachal Pradesh,75
46,Anser,indicus,Bar-headed Goose,26.6667,93.3501,90,25-01-2015,Kaziranga National Park,Assam,53
47,Anser,indicus,Bar-headed Goose,27.8098,74.4602,300,13-01-2014,Northeast of Tal Chappar,Rajasthan,138
48,Anser,indicus,Bar-headed Goose,26.6667,93.3501,90,09-03-2017,Kaziranga National Park,Assam,53
49,Anser,indicus,Bar-headed Goose,27.1593,77.5232,170,19-02-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
50,Anser,indicus,Bar-headed Goose,24.5933,74.1126,480,15-02-2018,"Menar, Udaipur",Rajasthan,147
51,Anser,indicus,Bar-headed Goose,24.5933,74.1126,480,15-02-2018,"Menar, Udaipur",Rajasthan,147
52,Anser,indicus,Bar-headed Goose,26.6804,93.5596,90,24-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
53,Anser,indicus,Bar-headed Goose,26.6804,93.5596,90,24-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
54,Anser,indicus,Bar-headed Goose,27.1593,77.5232,170,19-02-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
55,Anser,indicus,Bar-headed Goose,21.6408,71.1557,130,04-12-2013,"Bhandariya Nana, Amreli",Gujarat,118
56,Anser,indicus,Bar-headed Goose,31.1634,75.0027,200,21-12-2012,Harike,Punjab,142
57,Anser,anser,Greylag Goose,23.3194,71.8461,30,25-02-2012,SH18 Dasada Dasada Taluka Surendranagar District,Gujarat,137
58,Anser,anser,Greylag Goose,26.6667,93.3501,90,24-01-2015,Kaziranga National Park,Assam,53
59,Anser,anser,Greylag Goose,27.1545,77.5232,180,12-02-2016,"Shreenagar Rural, Bharatpur",Rajasthan,124
60,Anser,anser,Greylag Goose,28.464,76.893,220,20-01-2013,Sultanpur National Park SH15A Farrukhnagar Gurugram District,Haryana,190
61,Anser,anser,Greylag Goose,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
62,Anser,anser,Greylag Goose,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
63,Anser,anser,Greylag Goose,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
64,Anser,anser,Greylag Goose,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
65,Anser,anser,Greylag Goose,23.6888,87.6669,50,17-01-2016,"Kabi Mohanpur, Birbhum",West Bengal,172
66,Anser,anser,Greylag Goose,23.131,71.775,70,30-12-2011,Patdi Dasada Taluka Surendranagar District,Gujarat,137
67,Anser,anser,Greylag Goose,27.1569,77.5237,180,09-01-2014,"Keoladeo National Park (near  Shreenagar Rural), Bharatpur",Rajasthan,124
68,Anser,anser,Greylag Goose,27.1569,77.5237,180,09-01-2014,"Keoladeo National Park (near  Shreenagar Rural), Bharatpur",Rajasthan,124
69,Anser,albifrons,Greater White-fronted Goose,23.2594,69.5143,130,19-01-2014,"Makhana, Kutch",Gujarat,137
70,Sarkidiornis,melanotos,Knob-billed Duck,21.5859,71.317,110,05-10-2013,Saldi Lilia Taluka Amreli District,Gujarat,118
71,Tadorna,tadorna,Common Shelduck,26.8542,88.5591,150,05-03-2016,Gajaldoba,West Bengal,121
72,Tadorna,ferruginea,Ruddy Shelduck,15.4779,73.9314,0,01-12-2014,"Dhado-Carambolim, North Goa",Goa,46
73,Tadorna,ferruginea,Ruddy Shelduck,21.589,71.314,138,07-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
74,Tadorna,ferruginea,Ruddy Shelduck,23.4618,71.2874,0,28-02-2007,"Nawatalao lake, Kutch",Gujarat,137
75,Tadorna,ferruginea,Ruddy Shelduck,27.1593,77.5232,202,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
76,Tadorna,ferruginea,Ruddy Shelduck,27.1593,77.5232,193,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
77,Tadorna,ferruginea,Ruddy Shelduck,21.0576,75.8398,190,04-03-2017,"Pimprisekam, Jalgaon",Maharashtra,64
78,Tadorna,ferruginea,Ruddy Shelduck,19.9165,85.4272,10,02-12-2016,"Mangalajodi, Khordha",Odisha,162
79,Tadorna,ferruginea,Ruddy Shelduck,23.2378,69.6671,110,18-01-2016,"Bhuj, Kutch",Gujarat,137
80,Tadorna,ferruginea,Ruddy Shelduck,15.489,73.929,0,0213-12-02,Carambolim Lake,Goa,46
81,Tadorna,ferruginea,Ruddy Shelduck,26.9239,92.8812,190,27-11-2012,Nameri National Park,Assam,53
82,Tadorna,ferruginea,Ruddy Shelduck,26.6804,93.5596,70,24-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
83,Tadorna,ferruginea,Ruddy Shelduck,18.5054,74.0006,550,19-01-2011,"Kavadi Pat, Pune",Maharashtra,87
84,Tadorna,ferruginea,Ruddy Shelduck,18.5054,74.0006,550,19-01-2011,"Kavadi Pat, Pune",Maharashtra,87
85,Tadorna,ferruginea,Ruddy Shelduck,18.5054,74.0006,550,19-01-2011,"Kavadi Pat, Pune",Maharashtra,87
86,Tadorna,ferruginea,Ruddy Shelduck,21.0596,75.8367,190,04-03-2017,Dujkheda Yawal Jalgaon District,Maharashtra,64
87,Tadorna,ferruginea,Ruddy Shelduck,21.0576,75.8398,200,04-03-2017,"Pimprisekam, Jalgaon",Maharashtra,64
88,Tadorna,ferruginea,Ruddy Shelduck,21.0576,75.8398,190,04-03-2017,"Pimprisekam, Jalgaon",Maharashtra,64
89,Tadorna,ferruginea,Ruddy Shelduck,23.4744,87.3064,60,03-01-2015,"Durgapur Barrage Birding Hotspot, Durgapur",West Bengal,172
90,Tadorna,ferruginea,Ruddy Shelduck,19.9051,85.4365,0,23-01-2012,"Mangalajodi, Khordha",Odisha,162
92,Tadorna,ferruginea,Ruddy Shelduck,21.0658,75.8402,200,04-03-2017,Dujkheda Yawal Jalgaon District,Maharashtra,64
93,Nettapus,coromandelianus,Cotton Pygmy Goose,15.2961,74.0377,10,14-12-2014,"Maitollem Lake, South Goa",Goa,46
94,Nettapus,coromandelianus,Cotton Pygmy Goose,15.3414,73.9419,10,15-02-2016,"Ambulor Lake, South Goa",Goa,46
95,Spatula,querquedula,Garganey,13.1109,77.5953,80,10-04-2019,Yelahanka Kere,Karnataka,73
96,Spatula,querquedula,Garganey,27.1593,77.5232,170,19-02-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
97,Spatula,querquedula,Garganey,27.1593,77.5232,99,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
98,Spatula,querquedula,Garganey,15.2708,74.0193,10,09-02-2017,"Salcete (near  Curtorim), South Goa",Goa,46
99,Spatula,querquedula,Garganey,21.578,71.314,200,07-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
100,Spatula,clypeata,Northern Shoveler,15.4491,73.8935,10,26-11-2016,"Batim lake, North Goa",Goa,46
101,Spatula,clypeata,Northern Shoveler,21.576,71.321,70,12-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
102,Spatula,clypeata,Northern Shoveler,27.1593,77.5232,170,19-02-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
103,Mareca,strepera,Gadwall,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
104,Mareca,strepera,Gadwall,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
105,Mareca,strepera,Gadwall,21.575,71.322,0,08-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
106,Mareca,penelope,Eurasian Wigeon,27.5755,95.3955,120,13-01-2020,"Maguri bill,Tinsukia",Assam,89
107,Mareca,penelope,Eurasian Wigeon,26.6804,93.5596,70,25-11-2012,"Kaziranga National Park, Sohola Beel",Assam,53
108,Mareca,penelope,Eurasian Wigeon,21.578,71.314,200,07-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
109,Anas,poecilorhyncha,Indian Spot-billed Duck,12.8705,80.1823,10,03-08-2020,"Chennai, Kanchipuram",Tamil Nadu,66
110,Anas,poecilorhyncha,Indian Spot-billed Duck,12.8705,80.1823,10,03-08-2020,"Chennai, Kanchipuram",Tamil Nadu,66
111,Anas,poecilorhyncha,Indian Spot-billed Duck,18.7221,73.9031,600,03-08-2011,"Bhose, Pune",Maharashtra,106
112,Anas,poecilorhyncha,Indian Spot-billed Duck,27.1855,77.5066,180,12-02-1986,"Jatoli Ghana, Bharatpur",Rajasthan,120
113,Anas,poecilorhyncha,Indian Spot-billed Duck,12.8705,80.1823,10,03-08-2020,"Chennai, Kanchipuram",Tamil Nadu,66
114,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,113,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
115,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,202,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
116,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,208,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
117,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,206,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
118,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,188,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
119,Anas,poecilorhyncha,Indian Spot-billed Duck,30.2864,77.9744,201,12-04-2019,Wildlife Institute of India Campus--Nature Trail,Uttarakhand,175
120,Anas,poecilorhyncha,Indian Spot-billed Duck,30.286,77.9741,600,13-04-2019,"WII Nature trail pond, Dehradun",Uttarakhand,175
121,Anas,poecilorhyncha,Indian Spot-billed Duck,27.1593,77.5232,170,19-02-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
122,Anas,poecilorhyncha,Indian Spot-billed Duck,12.836,80.0342,40,17-09-2017,Kanchipuram,Tamil Nadu,5
123,Anas,poecilorhyncha,Indian Spot-billed Duck,18.5344,73.7853,600,16-09-2014,"Pune, Pune",Maharashtra,87
124,Anas,poecilorhyncha,Indian Spot-billed Duck,21.1429,78.8647,340,25-01-2014,"Vena Reservoir, Rohana, Nagpur",Maharashtra,161
125,Anas,poecilorhyncha,Indian Spot-billed Duck,18.5937,75.3052,550,16-09-2012,Nannaj,Maharashtra,107
126,Anas,poecilorhyncha,Indian Spot-billed Duck,12.869,80.1851,0,20-10-2019,"Chennai, Kanchipuram",Tamil Nadu,66
127,Anas,poecilorhyncha,Indian Spot-billed Duck,12.869,80.1851,0,20-10-2019,"Chennai, Kanchipuram",Tamil Nadu,66
128,Anas,poecilorhyncha,Indian Spot-billed Duck,27.1593,77.5232,177,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
129,Anas,poecilorhyncha,Indian Spot-billed Duck,30.286,77.9741,600,13-04-2019,"WII Nature trail pond, Dehradun",Uttarakhand,175
131,Anas,poecilorhyncha,Indian Spot-billed Duck,21.575,71.322,183,04-12-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
132,Anas,poecilorhyncha,Indian Spot-billed Duck,27.1593,77.5232,181,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
133,Anas,poecilorhyncha,Indian Spot-billed Duck,12.9912,80.2363,10,08-01-2019,"IIT Madras, Chennai",Tamil Nadu,54
134,Anas,poecilorhyncha,Indian Spot-billed Duck,21.0576,75.8398,190,04-03-2017,"Pimprisekam, Jalgaon",Maharashtra,64
135,Anas,platyrhynchos,Mallard,21.599,71.2055,110,11-02-2013,"Amreli, Amreli",Gujarat,118
136,Anas,acuta,Northern Pintail,21.575,71.323,6,10-11-2011,Saldi Lilia Taluka Amreli District,Gujarat,118
137,Anas,acuta,Northern Pintail,15.3414,73.9419,10,15-02-2016,"Ambulor Lake, South Goa",Goa,46
146,Mergus,merganser,Common Merganser,32.9112,78.3159,4500,19-08-2013,Lake Tso Moriri,Ladakh,46
149,Arborophila,torqueola,Hill Partridge,30.3865,79.1013,2400,14-04-2023,"Rudraprayag (near  Malkhi), Garhwal Division",Uttarakhand,175
150,Arborophila,torqueola,Hill Partridge,27.1567,92.4606,2350,02-03-2017,"Lama Camp, near Eaglenest WLS",Arunachal Pradesh,151
151,Arborophila,torqueola,Hill Partridge,30.4789,79.2111,2470,10-07-2019,Sau Kharak,Uttarakhand,175
152,Arborophila,torqueola,Hill Partridge,30.48,79.2,2019,18-04-2019,"Chopta, Kedarnath NP",Uttarakhand,175
153,Arborophila,torqueola,Hill Partridge,30.48,79.2,1822,18-04-2019,"Chopta, Kedarnath NP",Uttarakhand,175
154,Arborophila,torqueola,Hill Partridge,28.2334,95.9167,2400,23-11-2015,Mayodia Pass,Arunachal Pradesh,89
155,Arborophila,torqueola,Hill Partridge,31.1053,77.2399,2500,01-05-2015,Shimla,Himachal Pradesh,99
156,Arborophila,torqueola,Hill Partridge,27.1001,92.4001,1400,05-04-2013,Rupa SDO West Kameng District,Arunachal Pradesh,151
157,Arborophila,torqueola,Hill Partridge,27.1001,92.4001,2800,22-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
158,Arborophila,torqueola,Hill Partridge,27.1001,92.4001,2800,22-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
159,Arborophila,torqueola,Hill Partridge,27.1001,92.4001,2500,07-12-2010,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
160,Arborophila,torqueola,Hill Partridge,27.1001,92.4001,2800,17-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
161,Arborophila,torqueola,Hill Partridge,28.6333495,94.9747467,1509,24-03-2006,Yingkiong,Arunachal Pradesh,89
162,Arborophila,torqueola,Hill Partridge,27.1567,92.4606,2400,02-03-2017,Eaglenest road Aloo Baari Ramalingram Singchung ADC West Kameng District,Arunachal Pradesh,151
163,Arborophila,torqueola,Hill Partridge,30.4589,78.0232,2396,17-04-2019,George Everest,Uttarakhand,175
164,Arborophila,torqueola,Hill Partridge,27.1567,92.4606,2400,24-03-2019,"Lama Camp, near Eaglenest WLS",Arunachal Pradesh,151
165,Arborophila,torqueola,Hill Partridge,30.48,79.2,1861,18-04-2019,"Chopta, Kedarnath NP",Uttarakhand,175
166,Arborophila,torqueola,Hill Partridge,27.1253,92.4553,2800,23-04-2019,"Eaglenest Pass, Eaglenest WLS",Arunachal Pradesh,151
167,Arborophila,torqueola,Hill Partridge,30.4784,79.1406,1600,12-04-2018,"Makku Math, Rudraprayag",Uttarakhand,175
168,Arborophila,torqueola,Hill Partridge,30.4776,79.211,2900,18-03-2018,"Mud Hut, Chopta/Chamoli",Uttarakhand,175
169,Arborophila,torqueola,Hill Partridge,29.946,79.1228,2000,27-07-2017,"Uliyani, Pauri Garhwal",Uttarakhand,175
170,Arborophila,torqueola,Hill Partridge,29.485,79.354,2300,08-04-2016,Kunjakharak Road Maniya Binayak Nainital Nainital District,Uttarakhand,141
171,Arborophila,torqueola,Hill Partridge,29.443,79.418,2200,05-04-2016,Kunjakharak Road Maniya Binayak Kosya Kutauli Nainital District,Uttarakhand,141
173,Arborophila,torqueola,Hill Partridge,29.426,79.436,2000,16-05-2012,Kunjakharak Road Maniya Binayak Kosya Kutauli Nainital District,Uttarakhand,141
