Unnamed: 0,gen,sp,en,lat,lng,alt,date,location,state,aqi
334,Pavo,cristatus,Indian Peafowl,23.2175,72.6672,70,15-05-2022,"Punit Van, Gandhinagar",Gujarat,67
335,Pavo,cristatus,Indian Peafowl,12.0101,75.2003,0,29-09-2021,"Ettikulam, Kannur",Kerala,118
336,Pavo,cristatus,Indian Peafowl,12.0101,75.2003,0,29-09-2021,"Ettikulam, Kannur",Kerala,118
337,Pavo,cristatus,Indian Peafowl,26.0246,76.4543,380,08-05-1989,"Ranthambhore Fort, Sawai Madhopur",Rajasthan,159
338,Pavo,cristatus,Indian Peafowl,10.0399,77.3185,380,10-04-2021,"Peringassery, Theni",Tamil Nadu,91
339,Pavo,cristatus,Indian Peafowl,10.04,77.3184,380,10-04-2021,"Peringassery, Theni",Tamil Nadu,91
340,Pavo,cristatus,Indian Peafowl,10.04,77.3184,380,10-04-2021,"Peringassery, Theni",Tamil Nadu,91
341,Pavo,cristatus,Indian Peafowl,21.7177,79.3275,460,25-05-2011,Pench NP,Madhya Pradesh,161
342,Pavo,cristatus,Indian Peafowl,17.4054,78.5317,500,28-02-2020,"Hyderabad, Hyderabad",Telangana,60
343,Pavo,cristatus,Indian Peafowl,17.4855,78.2678,550,17-07-2019,ICRISAT,Telangana,153
344,Pavo,cristatus,Indian Peafowl,11.1633,78.158,200,13-05-2017,Namakkal,Tamil Nadu,999
345,Pavo,cristatus,Indian Peafowl,15.5238,73.8517,0,16-11-2016,"Bardez (near  Donwaddo, Salvador Do Mundo, Bardez), North Goa",Goa,46
346,Pavo,cristatus,Indian Peafowl,15.2087,74.1258,20,15-08-2014,"Cotarli,Sanguem, South Goa",Goa,46
347,Pavo,cristatus,Indian Peafowl,22.2983,80.5883,650,29-05-2009,"Kanha National Park, Balaghat",Madhya Pradesh,100
348,Pavo,cristatus,Indian Peafowl,25.135,72.6766,180,13-01-2014,"Siyana, Jalore",Rajasthan,160
349,Pavo,cristatus,Indian Peafowl,15.5886,73.8765,0,20-09-2012,"Aldona, North Goa",Goa,46
350,Pavo,cristatus,Indian Peafowl,15.5886,73.8765,0,05-05-2012,"Aldona, North Goa",Goa,46
351,Pavo,cristatus,Indian Peafowl,18.5937,75.3052,550,16-09-2012,Nannaj,Maharashtra,107
352,Pavo,cristatus,Indian Peafowl,28.5057,77.2202,240,03-11-2012,"K.S. Palace, Sanik Farm, New Delhi",Delhi,197
353,Pavo,cristatus,Indian Peafowl,16.8684,75.6917,550,30-07-2021,"Itangihal, Bijapur",Karnataka,63
354,Pavo,cristatus,Indian Peafowl,21.6536,79.3501,440,02-03-2007,Khursapar Ramtek Taluka Nagpur District,Maharashtra,161
355,Pavo,cristatus,Indian Peafowl,16.866,75.7371,550,27-12-2019,"Hanchinal, Bijapur",Karnataka,63
356,Pavo,cristatus,Indian Peafowl,29.5334,78.9334,600,1974-04-00,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
357,Pavo,cristatus,Indian Peafowl,29.5334,78.9334,600,1974-04-00,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
358,Pavo,cristatus,Indian Peafowl,29.5334,78.9334,600,1974-04-00,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
359,Pavo,cristatus,Indian Peafowl,27.1593,77.5232,308,06-04-2019,"Keoladeo National Park, Bharatpur",Rajasthan,124
360,Pavo,cristatus,Indian Peafowl,15.5334,73.8286,40,28-01-2019,"Bardez (near  Penha de França), North Goa",Goa,46
361,Pavo,cristatus,Indian Peafowl,13.347,74.788,100,21-07-2018,"Manipal, Udupi",Karnataka,86
362,Pavo,cristatus,Indian Peafowl,11.0477,76.8642,550,20-02-2018,"Coimbatore, Coimbatore",Tamil Nadu,999
363,Pavo,cristatus,Indian Peafowl,11.5515,76.6501,232,19-04-2017,"Mysore-Ooty Rooad, The Nilgiris County",Tamil Nadu,63
364,Pavo,cristatus,Indian Peafowl,11.5515,76.6501,369,19-04-2017,"Mysore-Ooty Rooad, The Nilgiris County",Tamil Nadu,63
365,Pavo,cristatus,Indian Peafowl,22.1991,80.9449,750,25-02-2015,"Supkhar reserve forest, Balaghat",Madhya Pradesh,92
366,Pavo,cristatus,Indian Peafowl,15.5442,73.7733,10,13-11-2014,"Bardez (near  Calangute), North Goa",Goa,46
367,Pavo,cristatus,Indian Peafowl,15.4641,74.1303,100,07-05-2010,"Paikul Village, Melauli",Goa,46
368,Pavo,cristatus,Indian Peafowl,24.621,72.762,1500,29-05-2012,Mount Abu WLS Abu Road Tehsil Sirohi District,Rajasthan,147
369,Pavo,cristatus,Indian Peafowl,28.5467,77.1712,330,14-03-2008,JNU Sports Complex Foot Path to Open Air Theatre Mehrauli Tehsil South Delhi District,Delhi,626
370,Pavo,cristatus,Indian Peafowl,10.9833,76.7341,480,27-08-2017,"Booluvampatti, Coimbatore",Tamil Nadu,63
371,Pavo,cristatus,Indian Peafowl,15.5442,73.7733,10,16-11-2014,"Bardez (near  Calangute), North Goa",Goa,46
372,Pavo,cristatus,Indian Peafowl,15.5442,73.7733,10,11-11-2014,"Bardez (near  Calangute), North Goa",Goa,46
373,Pavo,cristatus,Indian Peafowl,15.5334,73.8167,50,12-05-2010,Pilerne,Goa,46
374,Pavo,cristatus,Indian Peafowl,28.494,77.159,200,13-03-2011,"The Estate, Sultanpur",Delhi,197
375,Pavo,cristatus,Indian Peafowl,10.7369,77.5258,260,09-08-2022,"Pookkadai Corner Bus Stop (near  Dharapuram), Tiruppur",Tamil Nadu,999
376,Pavo,cristatus,Indian Peafowl,12.0579,75.5804,50,03-09-2022,"Payyavoor, Kannur",Kerala,118
377,Galloperdix,spadicea,Red Spurfowl,13.6541,79.4558,140,01-04-2020,"Tirupati, Chittoor",Andhra Pradesh,99
378,Galloperdix,spadicea,Red Spurfowl,11.8486,75.9394,750,15-01-2023,Mananthavady Wayanad District,Kerala,71
379,Galloperdix,spadicea,Red Spurfowl,10.3406,76.3467,30,15-08-2021,"Kodassery, Thrissur",Kerala,88
380,Galloperdix,spadicea,Red Spurfowl,12.7627,77.5984,850,01-04-2021,"Bengaluru, Bangalore Urban",Karnataka,67
381,Galloperdix,spadicea,Red Spurfowl,10.0965,77.0582,1500,04-02-2016,"Nr Munnar (not exact location) Kannan Devan Hills, Idukki",Kerala,91
382,Galloperdix,spadicea,Red Spurfowl,21.5834,77.3334,650,29-01-2016,Melghat Tiger Reserve,Maharashtra,137
383,Galloperdix,spadicea,Red Spurfowl,19.2032,72.9198,140,15-04-2016,"Mumbai, Mumbai Suburban",Maharashtra,118
384,Galloperdix,spadicea,Red Spurfowl,15.3622,73.8918,10,08-01-2015,Pale-Velsao,Goa,46
386,Galloperdix,spadicea,Red Spurfowl,21.5834,77.3334,650,29-01-2016,Melghat Tiger Reserve,Maharashtra,137
387,Galloperdix,spadicea,Red Spurfowl,9.6031376,77.1668688,364,12-04-2017,"Thekkady--Bamboo Grooves, Kumily Thekkady Road, Idukki County",Kerala,172
388,Galloperdix,spadicea,Red Spurfowl,10.1962539,76.698035,371,10-04-2017,"Idamalayer Dam Road, Idukki County",Kerala,91
389,Galloperdix,spadicea,Red Spurfowl,13.3614,77.6721,1100,18-02-2017,Chikballapur,Karnataka,90
390,Galloperdix,spadicea,Red Spurfowl,15.8657,74.0592,800,19-06-2016,"Chaukul, Sindhudurg",Maharashtra,46
391,Galloperdix,spadicea,Red Spurfowl,15.5886,73.8765,0,18-10-2012,"Aldona, North Goa",Goa,46
392,Galloperdix,spadicea,Red Spurfowl,15.5886,73.8765,0,21-10-2012,"Aldona, North Goa",Goa,46
393,Galloperdix,spadicea,Red Spurfowl,15.5886,73.8765,0,21-10-2012,"Aldona, North Goa",Goa,46
394,Galloperdix,spadicea,Red Spurfowl,24.619,72.762,1500,29-05-2012,Mount Abu WLS Abu Road Tehsil Sirohi District,Rajasthan,147
395,Galloperdix,spadicea,Red Spurfowl,12.050317,76.130705,311,28-11-2002,Nagarhole National Park,Karnataka,71
396,Galloperdix,spadicea,Red Spurfowl,12.0579,75.5804,50,11-11-2022,"Payyavoor, Kannur",Kerala,118
397,Galloperdix,spadicea,Red Spurfowl,15.5334,73.8286,40,18-12-2018,"Bardez (near  Penha de França), North Goa",Goa,46
398,Galloperdix,spadicea,Red Spurfowl,11.2759,76.2188,30,09-01-2016,"Nilambur, Malappuram",Kerala,63
399,Galloperdix,spadicea,Red Spurfowl,21.5834,77.3334,650,29-01-2016,Melghat Tiger Reserve,Maharashtra,137
400,Galloperdix,spadicea,Red Spurfowl,16.8148,74.1111,950,25-11-2017,"Panhala, Kolhapur",Maharashtra,46
401,Galloperdix,spadicea,Red Spurfowl,10.1962539,76.698035,467,10-04-2017,"Idamalayer Dam Road, Idukki County",Kerala,91
402,Galloperdix,spadicea,Red Spurfowl,11.2759,76.2188,30,10-12-2015,"Nilambur, Malappuram",Kerala,63
403,Galloperdix,spadicea,Red Spurfowl,11.9676,75.772,70,14-03-2015,"Aralam WLS, Kannur",Kerala,118
404,Galloperdix,spadicea,Red Spurfowl,10.4084,76.7191,500,26-01-2015,"Parambikulam Tiger Reserve, Palakkad",Kerala,88
405,Galloperdix,spadicea,Red Spurfowl,15.3622,73.8918,10,10-12-2014,Pale-Velsao,Goa,46
406,Galloperdix,spadicea,Red Spurfowl,11.805,75.859,1000,18-02-2012,Churuli Mananthavady Wayanad District,Kerala,118
407,Galloperdix,lunulata,Painted Spurfowl,13.6541,79.4558,140,01-04-2020,"Tirupati, Chittoor",Andhra Pradesh,99
408,Galloperdix,lunulata,Painted Spurfowl,13.6547,79.4562,140,03-02-2020,"Tirupati, Chittoor",Andhra Pradesh,99
409,Galloperdix,lunulata,Painted Spurfowl,12.7627,77.5984,850,29-03-2021,"Bengaluru, Bangalore Urban",Karnataka,67
410,Galloperdix,lunulata,Painted Spurfowl,13.6518,79.4163,180,19-08-2017,"Balaji Enclave (near  Tirupati), Chittoor",Andhra Pradesh,99
411,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.1001,92.4001,1600,03-04-2015,Rupa SDO West Kameng District,Arunachal Pradesh,151
412,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.0223,92.4139,1063,02-04-2018,Eaglenest road Khellong Kamengbari Doimara Circle West Kameng District,Arunachal Pradesh,151
413,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.0223,92.4139,1073,02-04-2018,Eaglenest road Khellong Kamengbari Doimara Circle West Kameng District,Arunachal Pradesh,151
414,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.0223,92.4139,1000,28-04-2013,Eaglenest road Khellong Kamengbari Doimara Circle West Kameng District,Arunachal Pradesh,151
415,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.1001,92.4001,1300,19-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
416,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.1001,92.4001,1300,19-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
417,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.1001,92.4001,1300,19-04-2011,Eaglenest Wildlife Sanctuary,Arunachal Pradesh,151
418,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.047,92.419,1200,04-03-2017,"Sessni Camp, Eaglenest",Arunachal Pradesh,151
419,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.047,92.419,1250,04-03-2017,"Sessni Camp, Eaglenest",Arunachal Pradesh,151
420,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.1567,92.4606,2400,22-04-2019,"Lama Camp, near Eaglenest WLS",Arunachal Pradesh,151
421,Polyplectron,bicalcaratum,Grey Peacock-Pheasant,27.4856,96.2153,320,02-01-1998,"Miao, Changlang District",Arunachal Pradesh,89
422,Bambusicola,fytchii,Mountain Bamboo Partridge,25.6152,94.0014,2600,17-02-2019,Khonoma,Nagaland,155
423,Bambusicola,fytchii,Mountain Bamboo Partridge,25.5719,93.8576,1900,07-11-2018,"Benreu, Peren",Nagaland,155
424,Bambusicola,fytchii,Mountain Bamboo Partridge,25.8488,94.9617,2500,11-05-2015,"Tsundang village, Kiphire",Nagaland,155
425,Bambusicola,fytchii,Mountain Bamboo Partridge,25.6501,94.0334,1750,06-01-2015,Khonoma Village,Nagaland,155
426,Bambusicola,fytchii,Mountain Bamboo Partridge,25.6389,93.9891,2100,04-11-2018,Kohima,Nagaland,155
427,Gallus,gallus,Red Junglefowl,30.0568,78.2896,302,20-04-2019,Cheela Dam - Rishikesh Road Yamkeshwar Pauri Garhwal District,Uttarakhand,175
428,Gallus,gallus,Red Junglefowl,29.5334,78.9334,303,10-04-2019,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
429,Gallus,gallus,Red Junglefowl,29.5334,78.9334,415,09-04-2019,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
430,Gallus,gallus,Red Junglefowl,26.935667,92.843335,233,07-04-2018,"River side, Nameri National Park",Assam,53
431,Gallus,gallus,Red Junglefowl,26.935667,92.843335,426,07-04-2018,"River side, Nameri National Park",Assam,53
432,Gallus,gallus,Red Junglefowl,30.6072,77.4615,700,20-10-2016,"Renuka Ji, Sirmaur",Himachal Pradesh,142
433,Gallus,gallus,Red Junglefowl,30.6072,77.4615,700,20-10-2016,"Renuka Ji, Sirmaur",Himachal Pradesh,142
434,Gallus,gallus,Red Junglefowl,22.2983,80.5883,650,30-05-2009,"Kanha National Park, Balaghat",Madhya Pradesh,100
435,Gallus,gallus,Red Junglefowl,22.2983,80.5883,650,29-05-2009,"Kanha National Park, Balaghat",Madhya Pradesh,100
436,Gallus,gallus,Red Junglefowl,30.2845,77.9743,600,05-03-2013,"Dehradun, Dehradun",Uttarakhand,175
437,Gallus,gallus,Red Junglefowl,26.6667,93.3501,90,24-11-2012,Kaziranga National Park,Assam,53
438,Gallus,gallus,Red Junglefowl,29.529,78.775,274,16-05-2012,Paterpani FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
439,Gallus,gallus,Red Junglefowl,21.6495,79.2451,500,03-12-2022,"Nagpur (near  Totaladoh), Nagpur Division",Maharashtra,161
440,Gallus,gallus,Red Junglefowl,29.5334,78.9334,600,1974-04-00,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
441,Gallus,gallus,Red Junglefowl,29.5334,78.9334,600,1974-04-00,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
442,Gallus,gallus,Red Junglefowl,30.2824,77.974,600,14-04-2019,"Dehradun, Dehradun",Uttarakhand,175
443,Gallus,gallus,Red Junglefowl,30.0568,78.2896,330,20-04-2019,Cheela Dam - Rishikesh Road Yamkeshwar Pauri Garhwal District,Uttarakhand,175
445,Gallus,gallus,Red Junglefowl,26.8726,88.8701,180,05-05-2018,"Upper Tendu Forest M, Jalpaiguri",West Bengal,121
446,Gallus,gallus,Red Junglefowl,24.4739,92.2877,50,08-03-2015,"Bazarghat F.V., Karimganj",Assam,37
447,Gallus,gallus,Red Junglefowl,28.2073,95.8086,800,13-04-2013,"Mishmi Hills, nr Tawarigaon (1)",Arunachal Pradesh,89
448,Gallus,gallus,Red Junglefowl,26.9498,92.7053,278,29-03-2007,Nameri National Park,Assam,53
449,Gallus,gallus,Red Junglefowl,29.5334,78.9334,313,09-04-2019,Sapdull FRH Kotdwara Pauri Garhwal District,Uttarakhand,123
450,Gallus,gallus,Red Junglefowl,30.2805,77.9608,600,14-04-2019,"Karwapani-Asarori Fireline, Dehradun",Uttarakhand,175
451,Gallus,sonneratii,Grey Junglefowl,12.8507,77.5063,800,20-02-2019,"Bengaluru, Bangalore Urban",Karnataka,83
452,Gallus,sonneratii,Grey Junglefowl,10.5215,76.6724,950,04-12-2022,Palakkad (near  Nooradi),Kerala,88
453,Gallus,sonneratii,Grey Junglefowl,11.4136,76.8731,1800,01-05-2022,"Aravenu, Nilgiris",Tamil Nadu,63
454,Gallus,sonneratii,Grey Junglefowl,10.0448,77.307,440,11-04-2021,"Peringassery, Theni",Tamil Nadu,91
455,Gallus,sonneratii,Grey Junglefowl,10.0448,77.307,440,11-04-2021,"Peringassery, Theni",Tamil Nadu,91
456,Gallus,sonneratii,Grey Junglefowl,10.0448,77.307,440,11-04-2021,"Peringassery, Theni",Tamil Nadu,91
457,Gallus,sonneratii,Grey Junglefowl,10.3862,77.547,360,24-01-2021,"Varadhamanathi dam, Palani",Tamil Nadu,999
458,Gallus,sonneratii,Grey Junglefowl,9.5087,77.1982,870,18-12-1998,Periyar National Park,Kerala,172
459,Gallus,sonneratii,Grey Junglefowl,11.5306,76.6418,1100,04-12-1998,Mudumalai Wildlife Sanctuary & National Park,Tamil Nadu,63
460,Gallus,sonneratii,Grey Junglefowl,11.5306,76.6418,1100,04-12-1998,Mudumalai Wildlife Sanctuary & National Park,Tamil Nadu,63
461,Gallus,sonneratii,Grey Junglefowl,17.9306,73.5988,750,18-03-2011,SH 72 Kumbhrosh Mahabaleshwar Satara District,Maharashtra,87
462,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
463,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
464,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
465,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
466,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
467,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
468,Gallus,sonneratii,Grey Junglefowl,18.446,73.4266,600,09-04-2011,Tamhini-Adaravadi trail Tamhini Mulshi Pune District,Maharashtra,87
469,Gallus,sonneratii,Grey Junglefowl,11.091,76.772,700,05-05-2020,Anaikatti Coimbatore North Coimbatore District,Tamil Nadu,63
470,Gallus,sonneratii,Grey Junglefowl,15.0116,74.2364,550,23-07-2017,"Cotigao Wildlife Sanctuary, South Goa",Goa,46
471,Gallus,sonneratii,Grey Junglefowl,15.4346,74.0985,320,13-11-2019,"Bondla Wildlife Sanctuary , North Goa",Goa,46
472,Gallus,sonneratii,Grey Junglefowl,11.7013,76.6361,900,08-02-2016,"nr Mudumalai, Mel Kamanahalli, Chamarajanagar",Karnataka,63
473,Gallus,sonneratii,Grey Junglefowl,10.1257,76.6822,60,03-02-2016,"Thattekad Bird Sanctuary nr Periyar River, Ernakulam",Kerala,91
474,Gallus,sonneratii,Grey Junglefowl,11.5983,75.9258,750,20-03-2019,"Malabar WLS, Kakkayam, Kozhikode",Kerala,118
475,Gallus,sonneratii,Grey Junglefowl,10.1577,76.6038,110,01-01-2018,Ernakulam,Kerala,91
476,Gallus,sonneratii,Grey Junglefowl,10.1962539,76.698035,602,10-04-2017,"Idamalayer Dam Road, Idukki County",Kerala,91
477,Gallus,sonneratii,Grey Junglefowl,14.9721,74.1471,110,26-02-2009,"Khotigao, Uttara Kannada",Goa,46
478,Gallus,sonneratii,Grey Junglefowl,15.2843,74.5302,550,02-01-2015,"Ganeshgudi, Uttara Kannada",Karnataka,46
479,Gallus,sonneratii,Grey Junglefowl,17.7208,73.8237,1200,12-05-2014,"Yekiv, Satara",Maharashtra,87
480,Gallus,sonneratii,Grey Junglefowl,11.091,76.772,600,25-05-2012,Anaikatti Coimbatore North Coimbatore District,Tamil Nadu,63
481,Gallus,sonneratii,Grey Junglefowl,13.347,74.789,117,04-05-2011,Manipal Udupi taluku Udupi District,Karnataka,86
482,Gallus,sonneratii,Grey Junglefowl,13.347,74.789,117,28-02-2010,Manipal Udupi taluku Udupi District,Karnataka,86
483,Gallus,sonneratii,Grey Junglefowl,10.4395,76.8703,751,19-01-2010,"Top Slip, Indira Gandhi National Park, Coimbatore",Tamil Nadu,88
484,Gallus,sonneratii,Grey Junglefowl,11.5306,76.6418,1000,04-12-1998,Nilgiris (near  Sholur),Tamil Nadu,63
485,Gallus,sonneratii,Grey Junglefowl,11.5306,76.6418,1000,04-12-1998,Nilgiris (near  Sholur),Tamil Nadu,63
486,Gallus,sonneratii,Grey Junglefowl,10.0448,77.307,440,11-04-2021,"Peringassery, Theni",Tamil Nadu,91
487,Gallus,sonneratii,Grey Junglefowl,10.0448,77.307,440,11-04-2021,"Peringassery, Theni",Tamil Nadu,91
488,Gallus,sonneratii,Grey Junglefowl,17.9306,73.5988,750,18-03-2011,SH 72 Kumbhrosh Mahabaleshwar Satara District,Maharashtra,87
489,Gallus,sonneratii,Grey Junglefowl,10.1257,76.6822,60,02-02-2016,"Thattekad Bird Sanctuary nr Periyar River, Ernakulam",Kerala,91
490,Gallus,sonneratii,Grey Junglefowl,10.4084,76.7191,500,09-10-2016,"Parambikulam Tiger Reserve, Palakkad",Kerala,88
491,Gallus,sonneratii,Grey Junglefowl,11.3362,76.1102,650,10-01-2016,"Kakkadampoyil, Malappuram",Kerala,63
492,Gallus,sonneratii,Grey Junglefowl,10.108,76.713,50,12-11-2017,Neriamangalam Kothamangalam Ernakulam District,Kerala,91
493,Gallus,sonneratii,Grey Junglefowl,11.3362,76.1102,650,19-03-2017,"Kakkadampoyil, Malappuram",Kerala,63
494,Gallus,sonneratii,Grey Junglefowl,12.8542,77.5098,800,19-03-2016,NICE Peripheral Ring Road Badamanavarthekaval Doddabele Bangalore South Bengaluru Urban,Karnataka,83
495,Gallus,sonneratii,Grey Junglefowl,19.2239,72.8951,70,07-05-2016,"Mumbai, Mumbai Suburban",Maharashtra,71
496,Gallus,sonneratii,Grey Junglefowl,9.1361,77.0057,60,06-03-2016,"Konni Forest, Pathanamthitta",Kerala,172
497,Gallus,sonneratii,Grey Junglefowl,11.9676,75.772,70,15-03-2015,"Aralam WLS, Kannur",Kerala,118
498,Gallus,sonneratii,Grey Junglefowl,15.3314,74.3681,600,13-03-2015,"Aveda Poppal Wadi, Uttara Kannada",Karnataka,46
499,Gallus,sonneratii,Grey Junglefowl,15.399,74.176,100,06-03-2015,Molem National Park,Goa,46
