gen,sp,group,en,cnt,loc,lat,lng,alt,method,date,rmk
Pavo,cristatus,birds,Indian Peafowl,India,"Bardez (near  Penha de Frana), North Goa, Goa",15.5334,73.8286,40,field recording,2019-01-28,There's a dog barking in the background as this sound was probably unfamiliar to him. These calls are heard everyday from a group of 3-4 peafowls with 1 or 2 peahens regularly foraging in the dense vegetation in the area.
Pavo,cristatus,birds,Indian Peafowl,India,"Manipal, Udupi, Karnataka",13.347,74.788,100,field recording,2018-07-21,
Pavo,cristatus,birds,Indian Peafowl,India,"Coimbatore, Coimbatore, Tamil Nadu",11.0477,76.8642,550,field recording,2018-02-20,
Pavo,cristatus,birds,Indian Peafowl,India,"Mysore-Ooty Rooad, The Nilgiris County, Tamil Nadu",11.5515,76.6501,,field recording,2017-04-19,
Pavo,cristatus,birds,Indian Peafowl,India,"Mysore-Ooty Rooad, The Nilgiris County, Tamil Nadu",11.5515,76.6501,,field recording,2017-04-19,
Pavo,cristatus,birds,Indian Peafowl,India,"Supkhar reserve forest, Balaghat, Madhya Pradesh",22.1991,80.9449,750,field recording,2015-02-25,
Pavo,cristatus,birds,Indian Peafowl,India,"Bardez (near  Calangute), North Goa, Goa",15.5442,73.7733,10,field recording,2014-11-13,
Pavo,cristatus,birds,Indian Peafowl,India,"Paikul Village, Melauli, Goa",15.4641,74.1303,100,field recording,2010-05-07,
Pavo,cristatus,birds,Indian Peafowl,India,mt.abu,24.621,72.762,1500,field recording,2012-05-29,
Pavo,cristatus,birds,Indian Peafowl,India,"Jawaharlal Nehru University, New Delhi",28.5467,77.1712,330,field recording,2008-03-14,This recording has two peafowls perched on a same tree calling simultaneously.
Pavo,cristatus,birds,Indian Peafowl,India,"Booluvampatti, Coimbatore, Tamil Nadu",10.9833,76.7341,480,field recording,2017-08-27,"Usually, I hear this call whenever I visit any woody area in Coimbatore"
Pavo,cristatus,birds,Indian Peafowl,India,"Bardez (near  Calangute), North Goa, Goa",15.5442,73.7733,10,field recording,2014-11-16,
Pavo,cristatus,birds,Indian Peafowl,India,"Bardez (near  Calangute), North Goa, Goa",15.5442,73.7733,10,field recording,2014-11-11,
Pavo,cristatus,birds,Indian Peafowl,India,"Pilerne, Goa",15.5334,73.8167,50,field recording,2010-05-12,Courtship
Pavo,cristatus,birds,Indian Peafowl,India,"The Estate, Sultanpur, Delhi",28.494,77.159,200,field recording,2011-03-13,Quite often heard early in the morning
Pavo,cristatus,birds,Indian Peafowl,India,"Pookkadai Corner Bus Stop (near  Dharapuram), Tiruppur, Tamil Nadu",10.7369,77.5258,260,field recording,2022-08-09,
Pavo,cristatus,birds,Indian Peafowl,India,"Payyavoor, Kannur, Kerala",12.0579,75.5804,50,field recording,2022-09-03,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Tirupati, Chittoor, Andhra Pradesh",13.6541,79.4558,140,field recording,2020-04-01,Calling from the trench at Bhupal housing colony/Sechachalam reserve forest.
Galloperdix,spadicea,birds,Red Spurfowl,India,Thalapuzha Poyil,11.8486,75.9394,750,field recording,2023-01-15,From the undergrowth
Galloperdix,spadicea,birds,Red Spurfowl,India,"Kodassery, Thrissur, Kerala",10.3406,76.3467,30,field recording,2021-08-15,Heard this call from a bush and the bird flew away.
Galloperdix,spadicea,birds,Red Spurfowl,India,"Bengaluru, Bangalore Urban, Karnataka",12.7627,77.5984,850,field recording,2021-04-01,Normalized the recording to -3db
Galloperdix,spadicea,birds,Red Spurfowl,India,"Nr Munnar (not exact location) Kannan Devan Hills, Idukki, Kerala",10.0965,77.0582,1500,field recording,2016-02-04,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Melghat Tiger Reserve, Maharashtra",21.5834,77.3334,650,field recording,2016-01-29,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Mumbai, Mumbai Suburban, Maharashtra",19.2032,72.9198,140,field recording,2016-04-15,Three Chicks Calling &  Adult responding inbetween
Galloperdix,spadicea,birds,Red Spurfowl,India,"Pale-Velsao,Goa",15.3622,73.8918,10,field recording,2015-01-08,
Galloperdix,spadicea,birds,Red Spurfowl,India,Mangalore,,,22,field recording,2021-02-22,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Melghat Tiger Reserve, Maharashtra",21.5834,77.3334,650,field recording,2016-01-29,Same bird as  XC409700
Galloperdix,spadicea,birds,Red Spurfowl,India,"Thekkady--Bamboo Grooves, Kumily Thekkady Road, Idukki County, Kerala",9.6031376,77.1668688,,field recording,2017-04-12,Soft calls
Galloperdix,spadicea,birds,Red Spurfowl,India,"Idamalayer Dam Road, Idukki County, Kerala",10.1962539,76.698035,,field recording,2017-04-10,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Chikballapur, Karnataka",13.3614,77.6721,1100,field recording,2017-02-18,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Chaukul, Sindhudurg, Maharashtra",15.8657,74.0592,800,field recording,2016-06-19,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Aldona, North Goa, Goa",15.5886,73.8765,0,field recording,2012-10-18,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Aldona, North Goa, Goa",15.5886,73.8765,0,field recording,2012-10-21,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Aldona, North Goa, Goa",15.5886,73.8765,0,field recording,2012-10-21,
Galloperdix,spadicea,birds,Red Spurfowl,India,mt. abu,24.619,72.762,1500,field recording,2012-05-29,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Nagarhole National Park, Karnataka",12.050317,76.130705,?,field recording,2002-11-28,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Payyavoor, Kannur, Kerala",12.0579,75.5804,50,field recording,2022-11-11,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Bardez (near  Penha de Frana), North Goa, Goa",15.5334,73.8286,40,field recording,2018-12-18,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Nilambur, Malappuram, Kerala",11.2759,76.2188,30,field recording,2016-01-09,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Melghat Tiger Reserve, Maharashtra",21.5834,77.3334,650,field recording,2016-01-29,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Panhala, Kolhapur, Maharashtra",16.8148,74.1111,950,field recording,2017-11-25,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Idamalayer Dam Road, Idukki County, Kerala",10.1962539,76.698035,,field recording,2017-04-10,Soft contact calls
Galloperdix,spadicea,birds,Red Spurfowl,India,"Nilambur, Malappuram, Kerala",11.2759,76.2188,30,field recording,2015-12-10,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Aralam WLS, Kannur, Kerala",11.9676,75.772,70,field recording,2015-03-14,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Parambikulam Tiger Reserve, Palakkad, Kerala",10.4084,76.7191,500,field recording,2015-01-26,
Galloperdix,spadicea,birds,Red Spurfowl,India,"Pale-Velsao,Goa",15.3622,73.8918,10,field recording,2014-12-10,
Galloperdix,spadicea,birds,Red Spurfowl,India,Wynaad,11.805,75.859,1000,field recording,2012-02-18,
Galloperdix,lunulata,birds,Painted Spurfowl,India,"Tirupati, Chittoor, Andhra Pradesh",13.6541,79.4558,140,field recording,2020-04-01,Calling from the trench at Bhupal housing colony/Sechachalam reserve forest.
Galloperdix,lunulata,birds,Painted Spurfowl,India,"Tirupati, Chittoor, Andhra Pradesh",13.6547,79.4562,140,field recording,2020-02-03,
Galloperdix,lunulata,birds,Painted Spurfowl,India,"Bengaluru, Bangalore Urban, Karnataka",12.7627,77.5984,850,field recording,2021-03-29,"amplified the recording to enhance the audibility and noise reduction done. '
Bird was seen in the ideal habitat calling around 5:58am."
Galloperdix,lunulata,birds,Painted Spurfowl,India,"Balaji Enclave (near  Tirupati), Chittoor, Andhra Pradesh",13.6518,79.4163,180,field recording,2017-08-19,there family of spurfowl foraging around rocky patch 1 immature bird left behind start calling
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,Below Bompu Camp Eagles Nest at 1600 m,27.1001,92.4001,1600,field recording,2015-04-03,"Quite vocal towards dusk from the track between Bompu and Sessni (closer to latter). This bird not seen, but a female nearby on the track next morning was!"
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh",27.0223,92.4139,,field recording,2018-04-02,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh",27.0223,92.4139,,field recording,2018-04-02,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,Eaglenest below Bompu Camp,27.0223,92.4139,1000,field recording,2013-04-28,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-19,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-19,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-19,
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Sessni Camp, Eaglenest, Arunachal Pradesh",27.047,92.419,1200,field recording,2017-03-04,"Open slope with dense vegetation 
"
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Sessni Camp, Eaglenest, Arunachal Pradesh",27.047,92.419,1250,field recording,2017-03-04,On open slope with dense vegetation.
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Lama Camp, near Eaglenest WLS, Arunachal Pradesh",27.1567,92.4606,2400,field recording,2019-04-22,Bird flushed and then calling with single notes from a bush. Possibly chicks nearby?
Polyplectron,bicalcaratum,birds,Grey Peacock-Pheasant,India,"Miao, Changlang District, Arunachal Pradesh",27.4856,96.2153,320,field recording,1998-01-02,bird calling in forest. Originally identified as Blue-bearded Bee-eater calls but Mike Nelosn has pointed out the similarity of this cut to Grey Peacock Pheasant (which was also present in the area)
Bambusicola,fytchii,birds,Mountain Bamboo Partridge,India,"Khonoma, Nagaland",25.6152,94.0014,2600,field recording,2019-02-17,
Bambusicola,fytchii,birds,Mountain Bamboo Partridge,India,"Benreu, Peren, Nagaland",25.5719,93.8576,1900,field recording,2018-11-07,It was just after sunset at 4.30 pm and spent 30 minutes listening to delightful sounds of Mountain Bamboo Partridges and Rufous-throated partridges. It was serenest moment in my life. 
Bambusicola,fytchii,birds,Mountain Bamboo Partridge,India,"Tsundang village, Kiphire, Nagaland",25.8488,94.9617,2500,field recording,2015-05-11,
Bambusicola,fytchii,birds,Mountain Bamboo Partridge,India,"Khonoma Village, Nagaland",25.6501,94.0334,1750,field recording,2015-01-06,Flock of 3.
Bambusicola,fytchii,birds,Mountain Bamboo Partridge,India,"Kohima, Nagaland",25.6389,93.9891,2100,field recording,2018-11-04,
Gallus,gallus,birds,Red Junglefowl,India,Rishikesh canal road,30.0568,78.2896,,field recording,2019-04-20,
Gallus,gallus,birds,Red Junglefowl,India,"Corbett NP, Uttaranchal",29.5334,78.9334,,field recording,2019-04-10,
Gallus,gallus,birds,Red Junglefowl,India,"Corbett NP, Uttaranchal",29.5334,78.9334,,field recording,2019-04-09,
Gallus,gallus,birds,Red Junglefowl,India,"River side, Nameri National Park, Assam",26.935667,92.843335,,field recording,2018-04-07,Female with chicks.
Gallus,gallus,birds,Red Junglefowl,India,"River side, Nameri National Park, Assam",26.935667,92.843335,,field recording,2018-04-07,Female with chicks.
Gallus,gallus,birds,Red Junglefowl,India,"Renuka Ji, Sirmaur, Himachal Pradesh",30.6072,77.4615,700,field recording,2016-10-20,
Gallus,gallus,birds,Red Junglefowl,India,"Renuka Ji, Sirmaur, Himachal Pradesh",30.6072,77.4615,700,field recording,2016-10-20,
Gallus,gallus,birds,Red Junglefowl,India,"Kanha National Park, Balaghat, Madhya Pradesh",22.2983,80.5883,650,field recording,2009-05-30,
Gallus,gallus,birds,Red Junglefowl,India,"Kanha National Park, Balaghat, Madhya Pradesh",22.2983,80.5883,650,field recording,2009-05-29,
Gallus,gallus,birds,Red Junglefowl,India,"Dehradun, Dehradun, Uttarakhand",30.2845,77.9743,600,field recording,2013-03-05,
Gallus,gallus,birds,Red Junglefowl,India,"Kaziranga National Park, Assam",26.6667,93.3501,90,field recording,2012-11-24,Unseen bird in thick cover next to the jeep track on the way out. 
Gallus,gallus,birds,Red Junglefowl,India,jim corbett national park,29.529,78.775,?,field recording,2012-05-16,2 adult male fighting 
Gallus,gallus,birds,Red Junglefowl,India,"Nagpur (near  Totaladoh), Nagpur Division, Maharashtra",21.6495,79.2451,500,field recording,2022-12-03,
Gallus,gallus,birds,Red Junglefowl,India,"Corbett NP, Uttaranchal",29.5334,78.9334,600,field recording,1974-04-00,
Gallus,gallus,birds,Red Junglefowl,India,"Corbett NP, Uttaranchal",29.5334,78.9334,600,field recording,1974-04-00,
Gallus,gallus,birds,Red Junglefowl,India,"Dehradun, Dehradun, Uttarakhand",30.2824,77.974,600,field recording,2019-04-14,A cock calling from behind the thickets
Gallus,gallus,birds,Red Junglefowl,India,Rishikesh canal road,30.0568,78.2896,,field recording,2019-04-20,
Gallus,gallus,birds,Red Junglefowl,India,Corbett park,,,500,field recording,2016-06-12,
Gallus,gallus,birds,Red Junglefowl,India,"Upper Tendu Forest M, Jalpaiguri, West Bengal",26.8726,88.8701,180,field recording,2018-05-05,Recorded from the first floor balcony of forest rest house in Chapramari Wildlife Sanctuary
Gallus,gallus,birds,Red Junglefowl,India,"Bazarghat F.V., Karimganj, Assam",24.4739,92.2877,50,field recording,2015-03-08,
Gallus,gallus,birds,Red Junglefowl,India,"Mishmi Hills, nr Tawarigaon (1), Arunachal Pradesh",28.2073,95.8086,800,field recording,2013-04-13,
Gallus,gallus,birds,Red Junglefowl,India,"Nameri National Park, Assam",26.9498,92.7053,?,field recording,2007-03-29,
Gallus,gallus,birds,Red Junglefowl,India,"Corbett NP, Uttaranchal",29.5334,78.9334,,field recording,2019-04-09,
Gallus,gallus,birds,Red Junglefowl,India,"Karwapani-Asarori Fireline, Dehradun, Uttarakhand",30.2805,77.9608,600,field recording,2019-04-14,"Alarm/distress call of a female.
Recorded with Tascam and Sennheiser ME 67. The ebird list can be accessed here <https://ebird.org/view/checklist/S54932039>"
Gallus,sonneratii,birds,Grey Junglefowl,India,"Bengaluru, Bangalore Urban, Karnataka",12.8507,77.5063,800,field recording,2019-02-20,The call is in the second half of the clip. This kept repeating every 30 seconds or so. The bird kept calling for more than 30 mins.
Gallus,sonneratii,birds,Grey Junglefowl,India,"Palakkad (near  Nooradi), Kerala",10.5215,76.6724,950,field recording,2022-12-04,The bird was giving these faint calls while foraging in the ground. It was not more than 20 metres away from the car. Windy atmosphere.
Gallus,sonneratii,birds,Grey Junglefowl,India,"Aravenu, Nilgiris, Tamil Nadu",11.4136,76.8731,1800,field recording,2022-05-01,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of two birds from different regions of the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Varadhamanathi dam, Palani, Tamil Nadu",10.3862,77.547,360,field recording,2021-01-24,"Recorded at Varadhamanathi dam, located in the lower elevation of The Palani Hills, Western Ghats."
Gallus,sonneratii,birds,Grey Junglefowl,India,"Periyar National Park, Kerala ",9.5087,77.1982,870,field recording,1998-12-18,"One male on forest floor along entrance road to the park, Thekkadi."
Gallus,sonneratii,birds,Grey Junglefowl,India,"Mudumalai Wildlife Sanctuary & National Park, Tamil Nadu",11.5306,76.6418,1100,field recording,1998-12-04,"One in dense bamboo stands, close to fence of Jungle Hut."
Gallus,sonneratii,birds,Grey Junglefowl,India,"Mudumalai Wildlife Sanctuary & National Park, Tamil Nadu",11.5306,76.6418,1100,field recording,1998-12-04,"One in dense bamboo stands, close to fence of Jungle Hut."
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kumbharoshi, Pratapgad",17.9306,73.5988,750,field recording,2011-03-18,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Tamhini, Pune",18.446,73.4266,600,field recording,2011-04-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Anaikatti, Coimbatore, India",11.091,76.772,700,field recording,2020-05-05,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Cotigao Wildlife Sanctuary, South Goa, Goa",15.0116,74.2364,550,field recording,2017-07-23,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Bondla Wildlife Sanctuary , North Goa, Goa",15.4346,74.0985,320,field recording,2019-11-13,
Gallus,sonneratii,birds,Grey Junglefowl,India,"nr Mudumalai, Mel Kamanahalli, Chamarajanagar, Karnataka",11.7013,76.6361,900,field recording,2016-02-08,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Thattekad Bird Sanctuary nr Periyar River, Ernakulam, Kerala",10.1257,76.6822,60,field recording,2016-02-03,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Malabar WLS, Kakkayam, Kozhikode, Kerala",11.5983,75.9258,750,field recording,2019-03-20,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Ernakulam, Kerala",10.1577,76.6038,110,field recording,2018-01-01,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Idamalayer Dam Road, Idukki County, Kerala",10.1962539,76.698035,?,field recording,2017-04-10,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Khotigao, Uttara Kannada, Goa",14.9721,74.1471,110,field recording,2009-02-26,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Ganeshgudi, Uttara Kannada, Karnataka",15.2843,74.5302,550,field recording,2015-01-02,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Yekiv, Satara, Maharashtra",17.7208,73.8237,1200,field recording,2014-05-12,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Anaikatti, Coimbatore, India",11.091,76.772,600,field recording,2012-05-25,The male was emitting this call at an interval of 2 seconds for a total of about 3 min.
Gallus,sonneratii,birds,Grey Junglefowl,India,Manipal,13.347,74.789,117,field recording,2011-05-04,Calls around once every 10-12 seconds.
Gallus,sonneratii,birds,Grey Junglefowl,India,Manipal,13.347,74.789,117,field recording,2010-02-28,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Top Slip, Indira Gandhi National Park, Coimbatore, Tamil Nadu",10.4395,76.8703,751,field recording,2010-01-19,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Nilgiris (near  Sholur), Tamil Nadu",11.5306,76.6418,1000,field recording,1998-12-04,"One in dense bamboo stands, close to fence of Jungle Hut. 
"
Gallus,sonneratii,birds,Grey Junglefowl,India,"Nilgiris (near  Sholur), Tamil Nadu",11.5306,76.6418,1000,field recording,1998-12-04,"One in dense bamboo stands, close to fence of Jungle Hut. Same bird as XC603116, XC603117
"
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kumbharoshi, Pratapgad",17.9306,73.5988,750,field recording,2011-03-18,One call
Gallus,sonneratii,birds,Grey Junglefowl,India,"Thattekad Bird Sanctuary nr Periyar River, Ernakulam, Kerala",10.1257,76.6822,60,field recording,2016-02-02,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Parambikulam Tiger Reserve, Palakkad, Kerala",10.4084,76.7191,500,field recording,2016-10-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2016-01-10,
Gallus,sonneratii,birds,Grey Junglefowl,India,Thattekad Bird Sanctuary,10.108,76.713,50,field recording,2017-11-12,within the undergrowth
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2017-03-19,
Gallus,sonneratii,birds,Grey Junglefowl,India,"The Valley School, Bangalore",12.8542,77.5098,800,field recording,2016-03-19,Bird sound at 15 seconds. is this a spurfowl call?
Gallus,sonneratii,birds,Grey Junglefowl,India,"Mumbai, Mumbai Suburban, Maharashtra",19.2239,72.8951,70,field recording,2016-05-07,The Bird was close in the bush but could not see it due to low light. 
Gallus,sonneratii,birds,Grey Junglefowl,India,"Konni Forest, Pathanamthitta, Kerala",9.1361,77.0057,60,field recording,2016-03-06,Konni Forest area in Mannarappara Range-  Forest type is Moist Deceduous forest. 
Gallus,sonneratii,birds,Grey Junglefowl,India,"Aralam WLS, Kannur, Kerala",11.9676,75.772,70,field recording,2015-03-15,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Aveda Poppal Wadi, Uttara Kannada, Karnataka",15.3314,74.3681,600,field recording,2015-03-13,iPhone4 unedited
Gallus,sonneratii,birds,Grey Junglefowl,India,"Molem National Park, Goa",15.399,74.176,100,field recording,2015-03-06,"Recorded near Tambdi Surla temple. The male cock is calling here before sunset while foraging (presumably) in the denser part of the jungle. Just ""normalised"" in Soundforge. No other processing done to original sound track except conversion to MP3."
